# ----------------------------------------
# Reports snapshot
# Account: Sam Mantell Portfolio
# Property: sammantell.com
# ----------------------------------------
#  
# Start date: 20260526
# End date: 20260622
Active users,New users,Average engagement time per active user,Event count
11,10,40,127

#  
# Start date: 20260526
# End date: 20260622
Page title and screen class,Views,Active users,Event count,Bounce rate
Sam Mantell — Creative Producer & Project Manager,25,11,86,0.6
Résumé — Sam Mantell,7,1,19,0.2
@ByteSyzeTV — Sam Mantell,3,3,7,0
Kaleb & Ms. Kelsey — Sam Mantell,2,1,6,0
Disco'd — Sam Mantell,1,1,4,1
Giphy Ads — Sam Mantell,1,1,3,0
Stamps — Sam Mantell,1,1,2,0

#  
# Start date: 20260526
# End date: 20260622
First user source / medium,Active users
(direct) / (none),10
google / organic,1

#  
# Start date: 20260526
# End date: 20260622
Session source/medium,Sessions
(direct) / (none),25
google / organic,1

#  
# Start date: 20260526
# End date: 20260622
Nth day,new,returning
0000,0,0
0001,0,0
0002,0,0
0003,0,0
0004,0,0
0005,0,0
0006,1,0
0007,0,0
0008,0,0
0009,0,0
0010,0,0
0011,0,0
0012,0,0
0013,0,1
0014,0,1
0015,1,1
0016,0,0
0017,3,0
0018,1,0
0019,0,0
0020,0,0
0021,0,0
0022,0,0
0023,2,2
0024,0,0
0025,2,0
0026,0,1
0027,0,1

# How does activity on your platforms compare?
# Start date: 20260526
# End date: 20260622
Platform,Key events


#  
# Start date: 20260526
# End date: 20260622
Town/City,Active users
Los Angeles,2
Frankfurt am Main,1
Groningen,1
Irvine,1
New York,1
Norwalk,1
San Francisco,1

#  
# Start date: 20260526
# End date: 20260622
Audience name,Active users
All Users,11
